"","geo_id","NAME","lon","lat","pop_density","pop_dens_log","density_label"
"3167","1400000US36059517801","5178.01",-73.581748518546,40.8830044101669,398.418391530683,5.9900094678201,2
"3168","1400000US36059407802","4078.02",-73.5525031367318,40.7316175510856,5365.43507137881,8.5879191069718,2
"3169","1400000US36059407700","4077",-73.568223669592,40.7365100090201,2236.25325171315,7.71300416550393,2
"3170","1400000US36059407801","4078.01",-73.547686884033,40.7372069793152,7245.29960210792,8.8882462178412,2
"3171","1400000US36059407900","4079",-73.574594551963,40.7074169800969,7219.99553053439,8.88474810749716,2
"3172","1400000US36059408000","4080",-73.568031533045,40.7147600283039,8546.24454745654,9.05336423483773,2
"3173","1400000US36063022100","221",-78.9788586142524,43.0877020158634,3161.14494893878,8.05900585762286,2
"3174","1400000US36059517901","5179.01",-73.5704671933278,40.9087358384198,2303.69872042267,7.74270523991287,2
"3175","1400000US36067010301","103.01",-76.1102759385147,43.1647957150907,1531.1245789917,7.33441066487412,2
"3176","1400000US36067010321","103.21",-76.0838130139861,43.1831453772597,2356.99030828665,7.7655649709475,2
"3177","1400000US36067010322","103.22",-76.101903444473,43.1881320762749,1845.82285078436,7.52122206373387,2
"3178","1400000US36059518300","5183",-73.5060166482773,40.8293977101233,3439.49393503164,8.14337032582501,2
"3179","1400000US36083052503","525.03",-73.7506203082216,42.5341546250687,1633.01856723169,7.39879763841028,2
"3180","1400000US36083052602","526.02",-73.6107498124207,42.5139630658786,1628.62664640259,7.3961062162778,2
"3181","1400000US36083052603","526.03",-73.4107780992908,42.5569163906465,47.8264572377995,3.88827232245764,1
"3182","1400000US36059405400","4054",-73.6853915763782,40.698632844904,12044.0711267868,9.39641082011969,3
"3183","1400000US36059405500","4055",-73.6717331117756,40.7026301910102,12199.3183733691,9.40921732655864,3
"3184","1400000US36059405600","4056",-73.6734206394788,40.6956088069349,10130.8048733119,9.22343475247895,2
"3185","1400000US36059405700","4057",-73.6774997519046,40.6874983795504,8741.12558726181,9.07590864128459,2
